id;name;category;type;functional_unit;wastage_coefficient
1;AAC block - 600 × 200 × 100 mm;Concrete and Plaster Products;Concrete;no.;1.0
2;AAC block - 600 × 200 × 150 mm;Concrete and Plaster Products;Concrete;no.;1.0
3;AAC block - 600 × 200 × 200 mm;Concrete and Plaster Products;Concrete;no.;1.0
4;Concrete block - 390 × 190 × 90 mm;Concrete and plaster products;Blocks;no.;1.0
5;Concrete block - 390 × 190 × 140 mm;Concrete and plaster products;Blocks;no.;1.0
6;Concrete block - 390 × 190 × 190 mm;Concrete and plaster products;Blocks;no.;1.0
7;Fibre cement sheet - 4.5 mm;Concrete and plaster products;Fibre cement;m²;1.05
8;Fibre cement sheet - 6 mm;Concrete and plaster products;Fibre cement;m²;1.05
9;Fibre cement sheet - 7.5 mm;Concrete and plaster products;Fibre cement;m²;1.0
10;Fibre cement sheet - 18 mm;Concrete and plaster products;Fibre cement;m²;1.0
11;Fibre cement sheet - 24 mm;Concrete and plaster products;Fibre cement;m²;1.0
12;FC weatherboard - 205 × 7.5 mm - per m² wall;Concrete and plaster products;Fibre cement;m²;1.0
13;FC weatherboard - 230 × 7.5 mm - per m² wall;Concrete and plaster products;Fibre cement;m²;1.0
14;FC weatherboard - 300 × 7.5 mm - per m² wall;Concrete and plaster products;Fibre cement;m²;1.0
15;FC weatherboard - 150 × 16 mm - per m² wall;Concrete and plaster products;Fibre cement;m²;1.0
16;FC weatherboard - 180 × 16 mm - per m² wall;Concrete and plaster products;Fibre cement;m²;1.0
17;Flat glass sheet - 3 mm;Glass;Flat glass;m²;1.0
18;Flat glass sheet - 4 mm;Glass;Flat glass;m²;1.03
19;Flat glass sheet - 5 mm;Glass;Flat glass;m²;1.0
20;Flat glass sheet - 6 mm;Glass;Flat glass;m²;1.0
21;Flat glass sheet - 10 mm;Glass;Flat glass;m²;1.0
22;Flat glass sheet - 12 mm;Glass;Flat glass;m²;1.0
23;Laminated glass sheet - 6.38 mm;Glass;Laminated glass;m²;1.0
24;Laminated glass sheet - 8.38 mm;Glass;Laminated glass;m²;1.0
25;Laminated glass sheet - 10.38 mm;Glass;Laminated glass;m²;1.0
26;Laminated glass sheet - 12.38 mm;Glass;Laminated glass;m²;1.0
27;Toughened glass sheet - 3 mm;Glass;Toughened glass;m²;1.0
28;Toughened glass sheet - 4 mm;Glass;Toughened glass;m²;1.0
29;Toughened glass sheet - 5 mm;Glass;Toughened glass;m²;1.0
30;Toughened glass sheet - 6 mm;Glass;Toughened glass;m²;1.03
31;Toughened glass sheet - 10 mm;Glass;Toughened glass;m²;1.0
32;Toughened glass sheet - 12 mm;Glass;Toughened glass;m²;1.03
33;Cellulose insulation - 80 mm (R2);Insulation;Cellulose;m²;1.0
34;Cellulose insulation - 100 mm (R2.5);Insulation;Cellulose;m²;1.0
35;Glasswool insulation - 80 mm (R2);Insulation;Other;m²;1.0
36;Glasswool insulation - 100 mm (R2.5);Insulation;Other;m²;1.0
37;EPS/XPS insulation - 72 mm (R2);Insulation;Polystyrene;m²;1.1
38;EPS/XPS insulation - 90 mm (R2.5);Insulation;Polystyrene;m²;1.0
39;PU rigid foam insulation - 44 mm (R2);Insulation;Polyurethane;m²;1.0
40;PU rigid foam insulation - 55 mm (R2.5);Insulation;Polyurethane;m²;1.0
41;Rockwool insulation - 80 mm (R2);Insulation;Other;m²;1.0
42;Rockwool insulation - 100 mm (R2.5);Insulation;Other;m²;1.0
43;Aluminium bar flat - 12 mm × 3mm;Metals;Aluminium;m;1.0
44;Aluminium bar flat - 40 mm × 3mm;Metals;Aluminium;m;1.0
45;Aluminium bar flat - 100 mm × 6mm;Metals;Aluminium;m;1.0
46;Aluminium bar round - 16 mm dia.;Metals;Aluminium;m;1.0
47;Aluminium bar round - 50 mm dia.;Metals;Aluminium;m;1.0
48;Aluminium bar round - 150 mm dia.;Metals;Aluminium;m;1.0
49;Aluminium round tube - 25 mm dia.. 3.2 mm thick;Metals;Aluminium;m;1.0
50;Aluminium round tube - 60 mm dia.. 10 mm thick;Metals;Aluminium;m;1.0
51;Aluminium round tube - 80 mm dia.. 6 mm thick;Metals;Aluminium;m;1.0
52;Aluminium square tube - 20 × 20 mm. 1.6 mm thick;Metals;Aluminium;m;1.0
53;Aluminium square tube - 40 × 40 mm. 2 mm thick;Metals;Aluminium;m;1.0
54;Aluminium square tube - 100 × 100 mm. 3 mm thick;Metals;Aluminium;m;1.0
55;Aluminium sheet - 1.6 mm;Metals;Aluminium;m²;1.0
56;Aluminium sheet - 3 mm;Metals;Aluminium;m²;1.0
57;Aluminium sheet - 6 mm;Metals;Aluminium;m²;1.0
58;Copper sheet - 0.9 mm;Metals;Copper;m²;1.0
59;Copper sheet - 1.2 mm;Metals;Copper;m²;1.0
60;Copper sheet - 2 mm;Metals;Copper;m²;1.0
61;Copper sheet - 3 mm;Metals;Copper;m²;1.0
62;Copper pipe - 12.7 mm outer dia.. 0.91 mm thick;Metals;Copper;m;1.0
63;Copper pipe - 19.05 mm outer dia.. 1.02 mm thick;Metals;Copper;m;1.0
64;Copper pipe - 40 mm outer dia.. 1.22 mm thick;Metals;Copper;m;1.0
65;Steel reinforcement bar - 6 mm dia.;Metals;Steel;m;1.0
66;Steel reinforcement bar - 8 mm dia.;Metals;Steel;m;1.0
67;Steel reinforcement bar - 12 mm dia.;Metals;Steel;m;1.05
68;Bare wire - 2 mm dia.;Metals;Stainless steel;m;1.0
69;Bare wire - 3.2 mm dia.;Metals;Stainless steel;m;1.0
70;Wire Rope - 1.6 mm dia.;Metals;Stainless steel;m;1.0
71;Wire Rope - 4 mm dia.;Metals;Stainless steel;m;1.0
72;Wire Rope - 8 mm dia.;Metals;Stainless steel;m;1.0
73;Wire Rope - 12 mm dia.;Metals;Stainless steel;m;1.0
74;Square tube - 20 × 20 mm. 1.6 mm thick;Metals;Steel;m;1.0
75;Square tube - 50 × 50 mm. 2 mm thick;Metals;Steel;m;1.0
76;Square tube - 100 × 100 mm. 4 mm thick;Metals;Steel;m;1.0
77;Steel pipe - 21.3 mm outer dia.. 2.6 mm thick;Metals;Steel;m;1.0
78;Steel pipe - 42.4 mm outer dia.. 2.6 mm thick;Metals;Steel;m;1.0
79;Steel pipe - 88.9 mm outer dia.. 4 mm thick;Metals;Steel;m;1.0
80;Steel pipe - 165.1 mm outer dia.. 4.9 mm thick;Metals;Steel;m;1.0
81;Steel sheet corrugated colorbond;Metals;Steel;m²;1.05
82;Solvent-based paint - per m²;Miscellaneous;Paint;m²;1.05
83;Wallpaper - per m²;Miscellaneous;Paper;m²;1.0
84;Water-based paint - per m²;Miscellaneous;Paint;m²;1.05
85;ABS panel - 2mm;Plastics;Other;m²;1.0
86;ABS panel - 3mm;Plastics;Other;m²;1.0
87;ABS pipe - 21.4 mm outer dia.. 2.1 mm thick;Plastics;Other;m;1.0
88;ABS pipe - 48.3 mm outer dia.. 3.6 mm thick;Plastics;Other;m;1.0
89;ABS pipe - 168.3 mm outer dia.. 7.7 mm thick;Plastics;Other;m;1.0
