element_id;element_name;element_category;element_type;element_functional_unit;element_wastage_coefficient;material_id;material_name;material_category;material_type;material_functional_unit;material_description;material_common_uses;material_comments;material_embodied_energy;material_embodied_water;material_embodied_carbon;material_weight;quantity
1;AAC block - 600 × 200 × 100 mm;Concrete and Plaster Products;Concrete;no.;1.0;25;Autoclaved aerated concrete;Minerals;Concrete;kg;"Autoclaved Aerated Concrete. also known as AAC. is a lightweight concrete product manufactured from cement. water. aluminium powder and sand. Hydrogen gas is used to create air bubbles in the mix. AAC is generally rated at 8 MPa. with up to 80% of its volume made up of air.
Its lightweight nature. which is 20% lighter than standard concrete. makes it easier to work with. AAC materials can be sanded and cut to size using standard power tools and have superior thermal properties to standard concrete.
AAC comes in a variety of product types. including blocks and panels. AAC blocks are typically used for domestic wall construction and are available as a 600 mm wide and 200 mm high block in thicknesses ranging from 50 to 300 mm. Blocks can be used for loadbearing walls up to three storeys. Panels are often used for both wall and floor construction in residential and commercial applications. They are 600 mm wide. 75 mm thick and come in lengths ranging from 1800 to 4800 mm.";External walls. internal walls. floors;;0.0085394488330838;8.387580670530294;0.7092803741064722;1.0;6.6
2;AAC block - 600 × 200 × 150 mm;Concrete and Plaster Products;Concrete;no.;1.0;25;Autoclaved aerated concrete;Minerals;Concrete;kg;"Autoclaved Aerated Concrete. also known as AAC. is a lightweight concrete product manufactured from cement. water. aluminium powder and sand. Hydrogen gas is used to create air bubbles in the mix. AAC is generally rated at 8 MPa. with up to 80% of its volume made up of air.
Its lightweight nature. which is 20% lighter than standard concrete. makes it easier to work with. AAC materials can be sanded and cut to size using standard power tools and have superior thermal properties to standard concrete.
AAC comes in a variety of product types. including blocks and panels. AAC blocks are typically used for domestic wall construction and are available as a 600 mm wide and 200 mm high block in thicknesses ranging from 50 to 300 mm. Blocks can be used for loadbearing walls up to three storeys. Panels are often used for both wall and floor construction in residential and commercial applications. They are 600 mm wide. 75 mm thick and come in lengths ranging from 1800 to 4800 mm.";External walls. internal walls. floors;;0.0085394488330838;8.387580670530294;0.7092803741064722;1.0;9.9
3;AAC block - 600 × 200 × 200 mm;Concrete and Plaster Products;Concrete;no.;1.0;25;Autoclaved aerated concrete;Minerals;Concrete;kg;"Autoclaved Aerated Concrete. also known as AAC. is a lightweight concrete product manufactured from cement. water. aluminium powder and sand. Hydrogen gas is used to create air bubbles in the mix. AAC is generally rated at 8 MPa. with up to 80% of its volume made up of air.
Its lightweight nature. which is 20% lighter than standard concrete. makes it easier to work with. AAC materials can be sanded and cut to size using standard power tools and have superior thermal properties to standard concrete.
AAC comes in a variety of product types. including blocks and panels. AAC blocks are typically used for domestic wall construction and are available as a 600 mm wide and 200 mm high block in thicknesses ranging from 50 to 300 mm. Blocks can be used for loadbearing walls up to three storeys. Panels are often used for both wall and floor construction in residential and commercial applications. They are 600 mm wide. 75 mm thick and come in lengths ranging from 1800 to 4800 mm.";External walls. internal walls. floors;;0.0085394488330838;8.387580670530294;0.7092803741064722;1.0;13.2
4;Concrete block - 390 × 190 × 90 mm;Concrete and plaster products;Blocks;no.;1.0;41;Concrete block;Minerals;Concrete;kg;"Concrete blocks (also known as concrete masonry units or CMU) are precast rectangular shaped blocks manufactured from concrete. They generally contain one or more hollow cavities. which reduces their weight and makes handling easier. Steel reinforcement is often inserted into these cavities. which are then filled with concrete in situ to provide added strength and loadbearing capacity.
Concrete blocks come in a range of sizes. with typical blocks coming in a length of 390 mm. a height of 190 mm and depth of 90. 140 and 190 mm. Each block weighs around 10 kg and has a minimum strength of 15 MPa. A range of colours and surface textures are available.
Blocks are typically used for internal and external walls in both domestic and commercial construction and can be used with or without mortar for loadbearing and non-loadbearing applications.";External walls. internal walls. landscaping;;0.0026432653537698;3.713914978823917;0.2427438721145271;1.0;9.2
5;Concrete block - 390 × 190 × 140 mm;Concrete and plaster products;Blocks;no.;1.0;41;Concrete block;Minerals;Concrete;kg;"Concrete blocks (also known as concrete masonry units or CMU) are precast rectangular shaped blocks manufactured from concrete. They generally contain one or more hollow cavities. which reduces their weight and makes handling easier. Steel reinforcement is often inserted into these cavities. which are then filled with concrete in situ to provide added strength and loadbearing capacity.
Concrete blocks come in a range of sizes. with typical blocks coming in a length of 390 mm. a height of 190 mm and depth of 90. 140 and 190 mm. Each block weighs around 10 kg and has a minimum strength of 15 MPa. A range of colours and surface textures are available.
Blocks are typically used for internal and external walls in both domestic and commercial construction and can be used with or without mortar for loadbearing and non-loadbearing applications.";External walls. internal walls. landscaping;;0.0026432653537698;3.713914978823917;0.2427438721145271;1.0;11.2
6;Concrete block - 390 × 190 × 190 mm;Concrete and plaster products;Blocks;no.;1.0;41;Concrete block;Minerals;Concrete;kg;"Concrete blocks (also known as concrete masonry units or CMU) are precast rectangular shaped blocks manufactured from concrete. They generally contain one or more hollow cavities. which reduces their weight and makes handling easier. Steel reinforcement is often inserted into these cavities. which are then filled with concrete in situ to provide added strength and loadbearing capacity.
Concrete blocks come in a range of sizes. with typical blocks coming in a length of 390 mm. a height of 190 mm and depth of 90. 140 and 190 mm. Each block weighs around 10 kg and has a minimum strength of 15 MPa. A range of colours and surface textures are available.
Blocks are typically used for internal and external walls in both domestic and commercial construction and can be used with or without mortar for loadbearing and non-loadbearing applications.";External walls. internal walls. landscaping;;0.0026432653537698;3.713914978823917;0.2427438721145271;1.0;13.3
7;Fibre cement sheet - 4.5 mm;Concrete and plaster products;Fibre cement;m²;1.05;62;Fibre cement sheet;Minerals;Fibre cement;kg;"Fibre cement sheet is a non-structural material manufactured from Portland cement. cellulose fibres and water. Sheets come in standard sizes. generally 1 800 to 3 000 mm in length. 900 or 1 200 mm wide and in thicknesses ranging from 4.5 mm to 24 mm. They can be easily cut to size on site. Thicker boards provide superior impact resistance while thinner boards are typically used in situations where impact resistance is not as crucial.
Thermal and acoustic performance is generally poor and additional insulation is usually needed when used as external cladding. However. it is termite and rot resistant and has very high fire resistance properties.
Fibre cement sheet is often used as a replacement for plasterboard. particularly in situations that are exposed to water (such as wet areas). It can be used for both residential and commercial buildings in a range of applications. including internal and external cladding. soffit linings and structural bracing.";Internal wall lining. external wall cladding. soffit lining. structural bracing;;0.0136870021793254;14.101878567857078;1.2793558907183191;1.0;6.5
8;Fibre cement sheet - 6 mm;Concrete and plaster products;Fibre cement;m²;1.05;62;Fibre cement sheet;Minerals;Fibre cement;kg;"Fibre cement sheet is a non-structural material manufactured from Portland cement. cellulose fibres and water. Sheets come in standard sizes. generally 1 800 to 3 000 mm in length. 900 or 1 200 mm wide and in thicknesses ranging from 4.5 mm to 24 mm. They can be easily cut to size on site. Thicker boards provide superior impact resistance while thinner boards are typically used in situations where impact resistance is not as crucial.
Thermal and acoustic performance is generally poor and additional insulation is usually needed when used as external cladding. However. it is termite and rot resistant and has very high fire resistance properties.
Fibre cement sheet is often used as a replacement for plasterboard. particularly in situations that are exposed to water (such as wet areas). It can be used for both residential and commercial buildings in a range of applications. including internal and external cladding. soffit linings and structural bracing.";Internal wall lining. external wall cladding. soffit lining. structural bracing;;0.0136870021793254;14.101878567857078;1.2793558907183191;1.0;8.67
9;Fibre cement sheet - 7.5 mm;Concrete and plaster products;Fibre cement;m²;1.0;62;Fibre cement sheet;Minerals;Fibre cement;kg;"Fibre cement sheet is a non-structural material manufactured from Portland cement. cellulose fibres and water. Sheets come in standard sizes. generally 1 800 to 3 000 mm in length. 900 or 1 200 mm wide and in thicknesses ranging from 4.5 mm to 24 mm. They can be easily cut to size on site. Thicker boards provide superior impact resistance while thinner boards are typically used in situations where impact resistance is not as crucial.
Thermal and acoustic performance is generally poor and additional insulation is usually needed when used as external cladding. However. it is termite and rot resistant and has very high fire resistance properties.
Fibre cement sheet is often used as a replacement for plasterboard. particularly in situations that are exposed to water (such as wet areas). It can be used for both residential and commercial buildings in a range of applications. including internal and external cladding. soffit linings and structural bracing.";Internal wall lining. external wall cladding. soffit lining. structural bracing;;0.0136870021793254;14.101878567857078;1.2793558907183191;1.0;10.84
10;Fibre cement sheet - 18 mm;Concrete and plaster products;Fibre cement;m²;1.0;62;Fibre cement sheet;Minerals;Fibre cement;kg;"Fibre cement sheet is a non-structural material manufactured from Portland cement. cellulose fibres and water. Sheets come in standard sizes. generally 1 800 to 3 000 mm in length. 900 or 1 200 mm wide and in thicknesses ranging from 4.5 mm to 24 mm. They can be easily cut to size on site. Thicker boards provide superior impact resistance while thinner boards are typically used in situations where impact resistance is not as crucial.
Thermal and acoustic performance is generally poor and additional insulation is usually needed when used as external cladding. However. it is termite and rot resistant and has very high fire resistance properties.
Fibre cement sheet is often used as a replacement for plasterboard. particularly in situations that are exposed to water (such as wet areas). It can be used for both residential and commercial buildings in a range of applications. including internal and external cladding. soffit linings and structural bracing.";Internal wall lining. external wall cladding. soffit lining. structural bracing;;0.0136870021793254;14.101878567857078;1.2793558907183191;1.0;26.0
